Disease,Symptoms,Gender,Age,Medicine
Anal Fissure,"Pain during bowel movements, bleeding, itching",Gender Neutral,20–50 years,"Fiber supplements, stool softeners, topical nitroglycerin"
Angina (Stable Angina),"Chest pain, pressure, shortness of breath (during exertion)",More common in males,50+ years,"Nitroglycerin, beta-blockers (metoprolol), statins"
Anorexia Nervosa,"Extreme weight loss, fear of gaining weight, distorted body image",More common in females,Teens to young adults,"Therapy, SSRIs (fluoxetine), nutritional support"
Anthrax,"Fever, fatigue, cough (if inhaled), skin ulcers (if cutaneous)",Gender Neutral,Any age,"Antibiotics (ciprofloxacin, doxycycline)"
Aphasia,"Difficulty speaking, understanding language, reading/writing issues",Gender Neutral,Any age (often after stroke or brain injury),"Speech therapy, treating underlying cause"
Arrhythmia (Irregular Heartbeat),"Palpitations, dizziness, fainting, chest pain",Gender Neutral,Any age (more common in elderly),"Beta-blockers, antiarrhythmics (amiodarone)"
Asperger’s Syndrome,"Social challenges, repetitive behaviors, intense focus on interests",More common in males,Diagnosed in childhood,"Behavioral therapy, social skills training"
Autoimmune Hepatitis,"Fatigue, jaundice, abdominal pain, joint pain",More common in females,15–40 years,"Immunosuppressants (prednisone, azathioprine)"
Avian Influenza (Bird Flu),"Fever, cough, sore throat, muscle aches, pneumonia",Gender Neutral,Any age,"Antivirals (oseltamivir), supportive care"
Azoospermia,"Infertility, low sperm count",Male,20–50 years,"Hormone therapy (FSH), surgery (if blockage exists)"
Aortic Stenosis,"Chest pain, fainting, shortness of breath, heart murmur",More common in males,60+ years,"Valve replacement surgery, diuretics (furosemide)"
Actinic Keratosis,"Rough, scaly skin patches (pre-cancerous)",More common in males,40+ years,"Topical creams (5-fluorouracil), cryotherapy"
Agoraphobia,"Fear of open/public spaces, panic attacks",More common in females,Teens to adults,"SSRIs (sertraline), CBT therapy"
Amebiasis,"Diarrhea (sometimes bloody), stomach cramps, fever",Gender Neutral,Any age,"Antibiotics (metronidazole, tinidazole)"
Ankylosing Spondylitis,"Chronic back pain, stiffness, reduced mobility",More common in males,20–40 years,"NSAIDs (ibuprofen), biologics (adalimumab)"
Aplastic Anemia,"Fatigue, frequent infections, easy bruising",Gender Neutral,Any age,"Immunosuppressants (cyclosporine), bone marrow transplant"
Atopic Dermatitis (Eczema),"Itchy, red, dry skin, rashes",Gender Neutral,Often starts in childhood,"Steroid creams (hydrocortisone), antihistamines"
Auditory Neuropathy,"Hearing difficulty, distorted sound perception",Gender Neutral,Any age (often congenital),"Hearing aids, cochlear implants"
Amyotrophic Lateral Sclerosis (ALS),"Muscle weakness, paralysis, difficulty speaking/swallowing",More common in males,40–70 years,"Riluzole, edaravone, supportive care"
Anal Itching (Pruritus Ani),"Itching around the anus, redness",More common in males,Adults,"Antifungal creams, hydrocortisone ointment"
Angioedema,"Swelling under the skin (face, lips, throat), hives",Gender Neutral,Any age,"Antihistamines (diphenhydramine), epinephrine (if severe)"
Achalasia,"Difficulty swallowing, chest pain, regurgitation",Gender Neutral,25–60 years,"Nitrates, calcium channel blockers, surgery"
Alopecia Areata,"Patchy hair loss, bald spots",Gender Neutral,Any age (often teens to adults),"Corticosteroid injections, minoxidil"
Acute Bronchitis,"Cough (with mucus), chest discomfort, fatigue",Gender Neutral,Any age,"Rest, hydration, cough suppressants (dextromethorphan)"
Addison’s Disease,"Fatigue, weight loss, low blood pressure, dark skin patches",More common in females,30–50 years,"Hormone replacement (hydrocortisone, fludrocortisone)"
Adenomyosis,"Heavy periods, pelvic pain, bloating",Female,30–50 years,"Hormonal therapy (progestins), NSAIDs"
Amyloidosis,"Fatigue, swelling, shortness of breath, numbness",More common in males,50+ years,"Chemotherapy, stem cell transplant"
Anencephaly,Missing parts of brain/skull (fatal birth defect),Gender Neutral,Newborns,Palliative care (no cure)
Arteritis (Giant Cell Arteritis),"Headaches, jaw pain, vision loss, scalp tenderness",More common in females,50+ years,Corticosteroids (prednisone)
Ascariasis (Roundworm Infection),"Abdominal pain, diarrhea, coughing, weight loss",Gender Neutral,Any age (common in children),"Antiparasitics (albendazole, mebendazole)"
Astigmatism,"Blurred vision, eye strain, headaches",Gender Neutral,Any age,"Corrective lenses, LASIK surgery"
Avascular Necrosis,"Joint pain (hip/knee), limited mobility",More common in males,30–50 years,"Pain relievers (NSAIDs), surgery (joint replacement)"
Bronchitis,"Cough (with mucus), wheezing, chest discomfort, fatigue",Gender Neutral,Any age (more severe in elderly & young children),"Rest, hydration, bronchodilators (albuterol), cough suppressants"
Bipolar Disorder,"Mood swings (mania/depression), hyperactivity, insomnia, impulsivity",Gender Neutral (slightly more common in females),Teens to adults (often diagnosed at 20–30 years),"Mood stabilizers (lithium), antipsychotics (quetiapine)"
Breast Cancer,"Lump in breast, nipple discharge, skin dimpling, pain",Female (rare in males),40+ years,"Surgery, chemotherapy (doxorubicin), hormone therapy (tamoxifen)"
Bell’s Palsy,"Sudden facial drooping, drooling, difficulty closing eye",Gender Neutral,15–60 years,"Corticosteroids (prednisone), antivirals (if viral cause)"
Bacterial Vaginosis (BV),"Fishy odor, grayish discharge, itching",Female,15–50 years,"Antibiotics (metronidazole, clindamycin)"
Benign Prostatic Hyperplasia (BPH),"Frequent urination, weak urine stream, incomplete emptying",Male,50+ years,"Alpha-blockers (tamsulosin), 5-alpha reductase inhibitors (finasteride)"
Bulimia Nervosa,"Binge eating followed by purging, tooth erosion, dehydration",More common in females,Teens to young adults,"Therapy, SSRIs (fluoxetine)"
Bladder Infection (UTI - Cystitis),"Painful urination, frequent urges, cloudy urine",More common in females,Any age (peak in 20–50 years),"Antibiotics (ciprofloxacin, nitrofurantoin)"
Bronchiolitis,"Wheezing, rapid breathing, cough, fever (in infants)",Gender Neutral,Infants & toddlers (under 2 years),"Supportive care (hydration, oxygen if severe)"
Botulism,"Muscle weakness, blurred vision, difficulty swallowing",Gender Neutral,Any age,"Antitoxin, respiratory support"
Brucellosis,"Fever, joint pain, fatigue, sweating",More common in males (occupational exposure),Adults (20–50 years),Antibiotics (doxycycline + rifampin)
Barrett’s Esophagus,"Chronic heartburn, acid reflux, difficulty swallowing",More common in males,50+ years,"PPIs (omeprazole), surgery (if precancerous)"
Basal Cell Carcinoma,"Pearly skin bump, bleeding sore, slow-growing lesion",More common in males,40+ years,"Surgical removal, topical chemotherapy (5-FU)"
Beriberi (Thiamine Deficiency),"Weakness, pain, swelling, heart failure (wet type)",Gender Neutral,Any age,Thiamine (Vitamin B1) supplements
Blepharitis,"Red, itchy eyelids, crusty debris, dry eyes",Gender Neutral,Adults (30+ years),"Warm compresses, antibiotic ointment (erythromycin)"
Bone Cancer (Osteosarcoma),"Bone pain, swelling, fractures, fatigue",Slightly more common in males,Teens & young adults (10–30 years),"Chemotherapy (methotrexate), surgery"
Borderline Personality Disorder (BPD),"Emotional instability, fear of abandonment, self-harm",More common in females,Teens to adults,"Therapy (DBT), SSRIs (fluoxetine)"
Bursitis,"Joint pain, swelling, stiffness (shoulders, knees, hips)",Gender Neutral,40+ years,"NSAIDs (ibuprofen), corticosteroid injections"
Bunions (Hallux Valgus),"Bony bump at big toe base, pain, redness",More common in females,30+ years,"Orthotics, surgery (if severe)"
Bronchiectasis,"Chronic cough, thick mucus, recurrent infections",Gender Neutral,Any age (often starts in childhood),"Antibiotics, bronchodilators, chest physiotherapy"
Balanitis,"Redness, swelling, itching on penis tip",Male,Any age (common in uncircumcised men),"Antifungal creams (clotrimazole), antibiotics (if bacterial)"
Brain Aneurysm,"Severe headache (if ruptured), nausea, vision changes",More common in females,30–60 years,"Surgery (clipping/coiling), blood pressure control"
Brittle Bone Disease (Osteogenesis Imperfecta),"Frequent fractures, weak bones, short stature",Gender Neutral,Congenital (lifelong),"Bisphosphonates, physical therapy"
Bruxism (Teeth Grinding),"Jaw pain, headaches, worn teeth",Gender Neutral,Any age (peak in 25–44 years),"Mouth guards, muscle relaxants (if severe)"
Blastomycosis,"Fever, cough, chest pain, skin lesions",More common in males (occupational exposure),Adults,"Antifungals (itraconazole, amphotericin B)"
Behçet’s Disease,"Mouth sores, genital ulcers, eye inflammation",More common in males,20–40 years,"Corticosteroids, immunosuppressants (azathioprine)"
Binge Eating Disorder,"Eating large amounts rapidly, guilt, weight gain",More common in females,Teens to adults,"Therapy, SSRIs (fluoxetine)"
Black Mold Exposure (Stachybotrys),"Coughing, wheezing, eye irritation, fatigue",Gender Neutral,Any age,"Antihistamines, removing mold exposure"
Bowen’s Disease (Squamous Cell Carcinoma in Situ),"Red, scaly skin patch",More common in females,60+ years,"Topical chemotherapy (5-FU), cryotherapy"
Burning Mouth Syndrome,"Burning sensation on tongue/lips, dry mouth",More common in females,50+ years,"Clonazepam, vitamin B supplements"
Bacterial Meningitis,"Fever, stiff neck, headache, confusion",Gender Neutral,Any age (severe in infants & elderly),"IV antibiotics (ceftriaxone, vancomycin)"
Baker’s Cyst (Popliteal Cyst),"Swelling behind knee, stiffness, pain",Gender Neutral,Adults (40+ years),"NSAIDs, corticosteroid injections"
Bedsores (Pressure Ulcers),"Skin breakdown, redness, pain, infection risk",Gender Neutral,Elderly (70+ years),"Wound care, antibiotics (if infected)"
Biliary Colic,"Sudden upper right abdominal pain, nausea",More common in females,30–50 years,"Pain relievers, surgery (cholecystectomy)"
Blue Baby Syndrome (Methemoglobinemia),"Bluish skin, shortness of breath, fatigue",Gender Neutral,Infants,"Methylene blue, oxygen therapy"
Body Dysmorphic Disorder (BDD),"Obsession with perceived flaws, excessive grooming",Gender Neutral (slightly more females),Teens to adults,"SSRIs (fluoxetine), CBT therapy"
Brain Tumor,"Headaches, seizures, nausea, vision changes",Gender Neutral,Any age (peaks in children & elderly),"Surgery, chemotherapy, radiation"
Breast Fibroadenoma,"Firm, movable breast lump, painless",Female,15–35 years,"Monitoring, surgery (if large)"
Brown-Sequard Syndrome,"Weakness on one side, loss of sensation on opposite side",Gender Neutral,Adults (spinal cord injury),"Surgery, physical therapy"
Buerger’s Disease (Thromboangiitis Obliterans),"Pain in hands/feet, ulcers, cold limbs",More common in males,20–40 years,"Smoking cessation, vasodilators"
Burkitt’s Lymphoma,"Rapidly growing tumors, swollen lymph nodes, fever",More common in males,Children & young adults,Chemotherapy (rituximab + CHOP)
Byssinosis (Brown Lung Disease),"Cough, chest tightness, wheezing (textile workers)",More common in males,Adults (occupational exposure),"Bronchodilators, avoiding dust exposure"
Babesiosis,"Fever, fatigue, hemolytic anemia (tick-borne)",Gender Neutral,Any age,Antibiotics (azithromycin + atovaquone)
Balantidiasis,"Diarrhea (sometimes bloody), abdominal pain",Gender Neutral,Any age,"Antibiotics (tetracycline, metronidazole)"
Bartholin’s Cyst,"Painful lump near vaginal opening, swelling",Female,20–50 years,"Warm compresses, drainage (if infected)"
Berylliosis,"Chronic cough, shortness of breath, fatigue",More common in males (occupational),Adults,"Corticosteroids, oxygen therapy"
Blind Loop Syndrome,"Diarrhea, weight loss, bloating (after bowel surgery)",Gender Neutral,Adults,"Antibiotics (rifaximin), surgery"
Blue Nevus,"Blue-black mole, usually benign",Gender Neutral,Any age,"Monitoring, excision (if suspicious)"
Branchial Cleft Cyst,"Neck lump, sometimes infected",Gender Neutral,Congenital (often found in childhood),Surgical removal
Broken Heart Syndrome (Takotsubo Cardiomyopathy),"Sudden chest pain, shortness of breath (after stress)",More common in females,50+ years,"Beta-blockers, supportive care"
Common Cold (Viral Rhinitis),"Runny nose, sneezing, sore throat, mild fever",Gender Neutral,Any age,"Rest, hydration, decongestants (pseudoephedrine), pain relievers (acetaminophen)"
Chickenpox (Varicella),"Itchy rash, fever, fatigue, blisters",Gender Neutral,"Children (2-12 years), but can affect any age","Antivirals (acyclovir), calamine lotion, antihistamines (diphenhydramine)"
Cholera,"Severe diarrhea, vomiting, dehydration",Gender Neutral,Any age,"Oral rehydration salts (ORS), antibiotics (doxycycline)"
Chronic Obstructive Pulmonary Disease (COPD),"Shortness of breath, chronic cough, wheezing","More common in males (historically), now nearly equal",40+ years,"Bronchodilators (albuterol), inhaled steroids (fluticasone)"
Cirrhosis,"Fatigue, jaundice, abdominal swelling, easy bruising",More common in males,40+ years,"Diuretics (furosemide), beta-blockers (propranolol), liver transplant"
Colorectal Cancer,"Blood in stool, abdominal pain, weight loss, changes in bowel habits",Gender Neutral (slightly more males),50+ years,"Surgery, chemotherapy (5-FU), radiation"
Conjunctivitis (Pink Eye),"Redness, itching, discharge, tearing",Gender Neutral,Any age,"Antibiotic drops (if bacterial), antihistamine drops (if allergic)"
Coronary Artery Disease (CAD),"Chest pain (angina), shortness of breath, fatigue",More common in males,40+ years,"Statins (atorvastatin), beta-blockers (metoprolol), aspirin"
Crohn's Disease,"Abdominal pain, diarrhea, weight loss, fatigue",Gender Neutral,15-35 years,"Anti-inflammatories (mesalamine), biologics (infliximab)"
Cystic Fibrosis,"Persistent cough, frequent lung infections, poor growth",Gender Neutral,Congenital (diagnosed in childhood),"CFTR modulators (ivacaftor), enzyme supplements"
Cervical Cancer,"Abnormal vaginal bleeding, pelvic pain, discharge",Female,30-50 years,"Surgery, chemotherapy, radiation"
Celiac Disease,"Diarrhea, bloating, weight loss, fatigue",More common in females,Any age (often diagnosed in childhood),"Gluten-free diet, vitamin supplements"
Chlamydia,"Painful urination, discharge, pelvic pain (often asymptomatic)",More reported in females,15-24 years,"Antibiotics (azithromycin, doxycycline)"
Chronic Kidney Disease (CKD),"Fatigue, swelling, changes in urination, nausea",More common in females,50+ years,"Blood pressure medications (lisinopril), dialysis"
Cataracts,"Cloudy vision, glare sensitivity, fading colors",Gender Neutral,60+ years,Surgery (lens replacement)
Carpal Tunnel Syndrome,"Hand numbness, tingling, weakness",More common in females,30-60 years,"Wrist splints, corticosteroid injections, surgery"
Chikungunya,"High fever, severe joint pain, rash",Gender Neutral,Any age,"Pain relievers (NSAIDs), rest"
Chronic Fatigue Syndrome (ME/CFS),"Extreme tiredness, unrefreshing sleep, cognitive difficulties",More common in females,20-40 years,"Symptom management (sleep aids, pain relievers)"
Contact Dermatitis,"Red, itchy rash, blisters, dry skin",Gender Neutral,Any age,"Topical steroids (hydrocortisone), antihistamines"
Congestive Heart Failure (CHF),"Shortness of breath, fatigue, swelling in legs",Gender Neutral,50+ years,"Diuretics (furosemide), beta-blockers (carvedilol)"
Costochondritis,"Chest pain, tenderness at rib joints",More common in females,20-40 years,"NSAIDs (ibuprofen), rest"
Cushing's Syndrome,"Weight gain (especially abdomen), purple stretch marks, fatigue",More common in females,20-50 years,"Surgery (if tumor-related), medications (ketoconazole)"
Cyclothymia,Mild mood swings (hypomania and mild depression),Gender Neutral,Teens to adults,"Mood stabilizers (lithium), therapy"
Cystitis (Bladder Inflammation),"Frequent urination, burning sensation, pelvic pressure",More common in females,Any age,"Antibiotics (if bacterial), phenazopyridine (for pain)"
Cytomegalovirus (CMV) Infection,"Often asymptomatic; fever, fatigue, swollen glands (if symptomatic)",Gender Neutral,Any age,Antivirals (ganciclovir) for severe cases
Cerebral Palsy,"Movement disorders, muscle stiffness, developmental delays",Gender Neutral,Congenital (lifelong),"Physical therapy, muscle relaxants (baclofen)"
Cluster Headaches,"Severe one-sided head pain, eye redness, tearing",More common in males,20-50 years,"Oxygen therapy, triptans (sumatriptan)"
Creutzfeldt-Jakob Disease (CJD),"Rapid dementia, muscle stiffness, twitching",Gender Neutral,50+ years,"No cure, supportive care only"
Cryptosporidiosis,"Watery diarrhea, stomach cramps, dehydration",Gender Neutral,Any age,"Nitazoxanide, rehydration"
Croup,"Barking cough, stridor, difficulty breathing",Gender Neutral,6 months - 3 years,"Steroids (dexamethasone), nebulized epinephrine"
Cutaneous Larva Migrans,"Itchy, winding rash (usually on feet)",Gender Neutral,Any age,Antiparasitics (albendazole)
Cyclic Vomiting Syndrome,Recurrent episodes of severe nausea and vomiting,More common in females,"Children (3-7 years), adults","Anti-nausea drugs (ondansetron), migraine prophylaxis"
Cysticercosis,"Seizures, headaches, neurological symptoms",Gender Neutral,Any age,"Antiparasitics (albendazole), steroids"
Cold Sores (Herpes Labialis),"Painful blisters on lips, tingling sensation",Gender Neutral,Any age,"Antivirals (acyclovir), topical creams (docosanol)"
Chronic Sinusitis,"Nasal congestion, facial pain, postnasal drip",Gender Neutral,Adults,"Nasal steroids (fluticasone), antibiotics (if bacterial)"
Capillary Leak Syndrome,"Swelling, low blood pressure, hemoconcentration",Gender Neutral,Adults,"IV fluids, theophylline (prophylaxis)"
Cat Scratch Disease,"Swollen lymph nodes, fever, fatigue",Gender Neutral,Children and young adults,Antibiotics (azithromycin) for severe cases
Chancroid,"Painful genital ulcers, swollen lymph nodes",More common in males,20-40 years,"Antibiotics (azithromycin, ceftriaxone)"
Chemical Burns,"Skin redness, blistering, pain",Gender Neutral,Any age,"Immediate irrigation, topical antibiotics"
Chondromalacia Patellae,"Knee pain (especially when climbing stairs), grinding sensation",More common in females,Teens to young adults,"NSAIDs, physical therapy"
Chronic Lymphocytic Leukemia (CLL),"Fatigue, swollen lymph nodes, frequent infections",More common in males,50+ years,"Chemotherapy (ibrutinib), immunotherapy"
Complex Regional Pain Syndrome (CRPS),"Severe burning pain, swelling, skin changes",More common in females,40-60 years,"Pain medications, physical therapy"
Corneal Abrasion,"Eye pain, tearing, light sensitivity",Gender Neutral,Any age,"Antibiotic drops, pain relievers"
Crigler-Najjar Syndrome,"Jaundice, kernicterus (in severe cases)",Gender Neutral,Congenital (present at birth),"Phototherapy, liver transplant"
Cryoglobulinemia,"Rash, joint pain, weakness, kidney problems",More common in females,40+ years,"Immunosuppressants, plasma exchange"
Cushing's Disease (Pituitary Adenoma),Same as Cushing's syndrome (but caused by pituitary tumor),More common in females,20-50 years,"Surgery, medications (ketoconazole)"
Cutaneous T-cell Lymphoma,"Rash, skin patches, itching",More common in males,50+ years,"Topical chemotherapy, phototherapy"
Cyclospora Infection,"Watery diarrhea, loss of appetite, bloating",Gender Neutral,Any age,Antibiotics (trimethoprim-sulfamethoxazole)
Cystinuria,"Kidney stones, flank pain, blood in urine",Gender Neutral,Teens to adults,"Increased fluid intake, alkalinizing agents"
Cytokine Release Syndrome,"High fever, low blood pressure, difficulty breathing",Gender Neutral,Any age,"Tocilizumab, supportive care"
Diabetes Mellitus (Type 1),"Excessive thirst, frequent urination, weight loss, fatigue",Gender Neutral,Usually diagnosed in children/teens (5-25 years),Insulin therapy (rapid-acting and long-acting insulin)
Diabetes Mellitus (Type 2),"Increased thirst, frequent urination, slow wound healing",Gender Neutral (slightly more common in males),30+ years (increasingly seen in younger adults),"Metformin, SGLT2 inhibitors (empagliflozin), GLP-1 agonists (liraglutide)"
Dengue Fever,"High fever, severe headache, joint/muscle pain, rash",Gender Neutral,Any age,"Pain relievers (acetaminophen), hydration (avoid NSAIDs)"
Depression (Major Depressive Disorder),"Persistent sadness, loss of interest, fatigue, sleep disturbances",More common in females,Teens to elderly (peak onset 20s-30s),"SSRIs (fluoxetine), SNRIs (venlafaxine), therapy"
Dermatitis (Atopic/Eczema),"Itchy, red, dry skin, rashes",Gender Neutral,Often starts in childhood,"Topical steroids (hydrocortisone), antihistamines"
Diverticulitis,"Abdominal pain (usually left side), fever, bloating",Gender Neutral (slightly more common in males),50+ years,"Antibiotics (ciprofloxacin + metronidazole), liquid diet"
Diphtheria,"Sore throat, fever, gray throat membrane",Gender Neutral,Any age (rare where vaccinated),"Antitoxin, antibiotics (penicillin)"
Dry Eye Syndrome,"Burning, gritty sensation, redness, blurred vision",More common in females,50+ years,"Artificial tears, cyclosporine drops (Restasis)"
Dizziness (Vertigo - BPPV),"Spinning sensation, nausea, imbalance",More common in females,50+ years,"Epley maneuver, meclizine"
Dysmenorrhea (Painful Periods),"Cramping, lower back pain, nausea during menstruation",Female,Teens to 40s,"NSAIDs (ibuprofen), hormonal birth control"
Dyslexia,"Difficulty reading, spelling, writing",More common in males,Childhood (lifelong),Educational therapy (no medication)
Dupuytren's Contracture,"Thickened palm tissue, bent fingers",More common in males,40+ years,"Collagenase injections, surgery"
Delirium,"Confusion, disorientation, agitation",Gender Neutral,Elderly (65+ years),"Treat underlying cause, antipsychotics (haloperidol if severe)"
Deep Vein Thrombosis (DVT),"Leg pain/swelling, warmth, redness",Gender Neutral,40+ years,"Blood thinners (heparin, warfarin)"
Down Syndrome (Trisomy 21),"Intellectual disability, distinct facial features, heart defects",Gender Neutral,Congenital (lifelong),"Supportive care, therapies"
Drug Allergy,"Rash, itching, swelling, anaphylaxis",Gender Neutral,Any age,"Antihistamines (diphenhydramine), epinephrine (for severe reactions)"
Dandruff (Seborrheic Dermatitis),"Flaky scalp, itching, redness",More common in males,Teens to adults,"Antifungal shampoos (ketoconazole), coal tar shampoos"
Dehydration,"Thirst, dry mouth, dizziness, dark urine",Gender Neutral,Any age (high-risk in elderly & infants),"Oral rehydration solutions (ORS), IV fluids (if severe)"
Delusional Disorder,"Fixed false beliefs (e.g., paranoia), otherwise normal functioning",Gender Neutral,40+ years,"Antipsychotics (risperidone), therapy"
Dermatomyositis,"Muscle weakness, skin rash (purple/red patches)",More common in females,40-60 years,"Corticosteroids (prednisone), immunosuppressants"
Diabetic Neuropathy,"Numbness/tingling in hands/feet, burning pain",Gender Neutral,Adults with long-term diabetes,"Gabapentin, duloxetine"
Diphyllobothriasis (Fish Tapeworm),"Abdominal discomfort, diarrhea, vitamin B12 deficiency",Gender Neutral,Any age,Praziquantel
Discoid Lupus (Cutaneous Lupus),"Coin-shaped sores, scarring, hair loss",More common in females,20-50 years,"Topical steroids, hydroxychloroquine"
Dissociative Identity Disorder (DID),"Multiple identities, memory gaps, detachment",More common in females,Teens to adults,Therapy (no specific medication)
Dracunculiasis (Guinea Worm Disease),"Painful skin blister, worm emerging from skin",Gender Neutral,Any age,Slow worm extraction (no drug treatment)
Dry Mouth (Xerostomia),"Sticky mouth, frequent thirst, bad breath",More common in females,50+ years,"Saliva substitutes, pilocarpine"
Duchenne Muscular Dystrophy,"Progressive muscle weakness, difficulty walking",Male (X-linked),Childhood (diagnosed by age 5),"Corticosteroids (prednisone), physical therapy"
Dysarthria,"Slurred speech, slow speech, difficulty articulating",Gender Neutral,Any age (often after stroke or brain injury),Speech therapy
Dyshidrotic Eczema,"Small blisters on hands/feet, itching",Gender Neutral,20-40 years,"Topical steroids, antihistamines"
Dyspepsia (Indigestion),"Stomach pain, bloating, nausea",Gender Neutral,Any age,"Antacids, PPIs (omeprazole)"
Dystonia,"Involuntary muscle contractions, twisting movements",Gender Neutral,Any age,"Botulinum toxin injections, muscle relaxants"
Dengue Hemorrhagic Fever,"High fever, bleeding, plasma leakage",Gender Neutral,Any age,"IV fluids, supportive care"
Diabetic Retinopathy,"Blurred vision, floaters, vision loss",Gender Neutral,Adults with long-term diabetes,"Laser surgery, anti-VEGF injections"
Disseminated Intravascular Coagulation (DIC),"Bleeding, bruising, organ failure",Gender Neutral,Any age,"Treat underlying cause, blood products"
Double Vision (Diplopia),"Seeing two images, eye misalignment",Gender Neutral,Any age,"Prism glasses, surgery (if nerve/muscle issue)"
Drug-Induced Liver Injury,"Jaundice, nausea, fatigue",More common in females,Any age,"Discontinue offending drug, supportive care"
Duodenal Ulcer,"Burning stomach pain, bloating, nausea",More common in males,30-60 years,"PPIs (omeprazole), antibiotics (if H. pylori)"
Dwarfism (Achondroplasia),"Short stature, disproportionate limbs",Gender Neutral,Congenital (lifelong),Growth hormone (in some cases)
Dysautonomia,"Dizziness, fainting, irregular heartbeat",More common in females,Teens to adults,"Fludrocortisone, midodrine"
Dysgraphia,"Difficulty writing, poor handwriting",More common in males,Childhood (often with ADHD/dyslexia),Occupational therapy
Dysphagia (Difficulty Swallowing),"Choking, coughing while eating, pain swallowing",Gender Neutral,Elderly (60+ years),"Treat underlying cause, swallowing therapy"
Dysthymia (Persistent Depressive Disorder),"Chronic low mood, fatigue, poor concentration",More common in females,Teens to adults,"SSRIs (sertraline), therapy"
Dengue Shock Syndrome,Severe dengue with dangerously low blood pressure,Gender Neutral,Any age,"IV fluids, ICU care"
Diabetic Ketoacidosis (DKA),"Nausea, fruity breath, confusion, dehydration",Gender Neutral,Any age (type 1 diabetics),"IV insulin, fluids, electrolytes"
Diarrhea (Acute Infectious),"Loose stools, abdominal cramps, dehydration",Gender Neutral,Any age,"ORS, loperamide (if no fever/blood)"
Diffuse Large B-cell Lymphoma (DLBCL),"Swollen lymph nodes, fever, weight loss",More common in males,60+ years,Chemotherapy (R-CHOP)
Dislocated Shoulder,"Severe pain, inability to move arm, visible deformity",More common in males,Teens to 40s,"Reduction (manual relocation), sling"
Disseminated Sclerosis (Multiple Sclerosis),"Fatigue, numbness, vision problems, poor coordination",More common in females,20-50 years,Disease-modifying therapies (interferon-beta)
